                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.78926,                 1.3347,                0.53079,                 1.0556,                0.94517,                0.88495,                0.93648,                0.78975,                 0.9469,                0.87849,                0.92886,                0.71679,                0.68673,                 1.3223,                0.47882,                 1.0261,               0.005545,               0.005545,               0.005545
                     92,                0.78932,                 1.3297,                0.52915,                 1.0526,                0.95216,                0.88506,                0.93856,                 0.7928,                0.95311,                0.88282,                0.93649,                0.72236,                0.68176,                 1.3237,                0.47055,                 1.0252,              0.0054955,              0.0054955,              0.0054955
                     93,                0.78589,                 1.3225,                  0.521,                 1.0475,                0.95355,                0.88521,                0.93994,                 0.7949,                0.95109,                0.88082,                0.93204,                0.72317,                0.67776,                 1.3132,                0.46109,                  1.021,               0.005446,               0.005446,               0.005446
                     94,                0.77001,                 1.3121,                0.51735,                 1.0391,                 0.9501,                0.88602,                 0.9386,                0.79375,                0.94755,                0.88289,                0.93078,                0.72227,                0.67625,                 1.3116,                0.46578,                 1.0166,              0.0053965,              0.0053965,              0.0053965
                     95,                0.78233,                 1.3188,                0.52488,                 1.0459,                0.94501,                0.88852,                 0.9388,                0.79483,                0.94111,                0.89244,                0.93151,                0.72271,                0.67658,                 1.3135,                0.47157,                 1.0159,               0.005347,               0.005347,               0.005347
                     96,                0.77342,                 1.3133,                0.51582,                 1.0436,                0.94861,                0.88773,                0.93918,                0.79442,                0.94716,                0.88754,                0.93116,                0.72309,                0.67543,                 1.3111,                0.46911,                  1.017,              0.0052975,              0.0052975,              0.0052975
                     97,                0.77838,                 1.3128,                0.51486,                 1.0433,                 0.9344,                0.89481,                0.93874,                0.79553,                0.93507,                0.89349,                0.93126,                0.72417,                0.67235,                 1.2996,                0.46535,                 1.0149,               0.005248,               0.005248,               0.005248
                     98,                0.77253,                 1.3116,                 0.5183,                  1.042,                0.93707,                 0.8984,                 0.9401,                0.79588,                0.93861,                0.89219,                0.93337,                 0.7272,                0.67233,                 1.2934,                0.46168,                 1.0132,              0.0051985,              0.0051985,              0.0051985
                     99,                 0.7673,                 1.2983,                0.51357,                 1.0398,                 0.9396,                0.89581,                0.94225,                0.80041,                0.93592,                0.89426,                 0.9333,                0.73058,                 0.6666,                 1.2997,                0.45682,                 1.0117,               0.005149,               0.005149,               0.005149
                    100,                0.76105,                 1.2831,                0.50488,                 1.0354,                0.94494,                0.88961,                 0.9403,                0.79906,                0.94678,                0.89234,                0.93362,                0.73075,                0.66779,                  1.291,                0.45619,                  1.012,              0.0050995,              0.0050995,              0.0050995
                    101,                0.76603,                 1.3049,                0.51086,                 1.0411,                0.94236,                0.89245,                0.93954,                0.79952,                0.94049,                0.89374,                 0.9338,                0.73229,                0.66677,                 1.2885,                0.45652,                 1.0135,                0.00505,                0.00505,                0.00505
                    102,                0.76731,                 1.2907,                0.50673,                 1.0381,                 0.9541,                0.88667,                0.93971,                0.79958,                0.95368,                0.88754,                0.93749,                0.73384,                0.66139,                 1.2989,                0.45601,                  1.009,              0.0050005,              0.0050005,              0.0050005
